epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.0629,2.31889,3.9704,2.32103,0.0085,0.18571,0.03061,0.0175,2.22914,4.12721,2.49993,2.856e-05,2.856e-05,2.856e-05
2,81.8068,2.11459,3.90064,2.25296,0.00973,0.16667,0.08903,0.06689,2.00372,4.14371,2.32828,6.36238e-05,6.36238e-05,6.36238e-05
3,118.535,1.79371,3.81671,1.99314,0.01326,0.18571,0.10084,0.08428,1.96185,4.14041,2.28046,9.79808e-05,9.79808e-05,9.79808e-05
4,155.32,1.69068,3.7365,1.90553,0.01139,0.18095,0.09536,0.08027,1.89096,4.09412,2.13155,0.000131631,0.000131631,0.000131631
5,191.326,1.67568,3.58281,1.92945,0.01143,0.21955,0.10459,0.08568,1.71097,4.0026,1.94862,0.000164574,0.000164574,0.000164574
6,227.733,1.67088,3.4823,1.86209,0.01155,0.23383,0.09842,0.0835,1.65901,3.93181,1.90344,0.000196811,0.000196811,0.000196811
7,267.189,1.62626,3.30404,1.84292,0.01624,0.28672,0.11005,0.0804,1.67043,3.85,1.88911,0.00022834,0.00022834,0.00022834
8,305.236,1.61119,3.15679,1.822,0.0266,0.32005,0.10889,0.07804,1.64105,3.81906,1.83864,0.000259163,0.000259163,0.000259163
9,345.961,1.56922,3.04142,1.80803,0.04418,0.49683,0.14864,0.10317,1.58236,3.60279,1.77575,0.000289279,0.000289279,0.000289279
10,398.917,1.64494,3.00122,1.85693,0.99438,0.07996,0.16738,0.11765,1.58198,3.41394,1.77199,0.000318687,0.000318687,0.000318687
11,449.652,1.5939,2.89725,1.79381,1,0.09328,0.17873,0.12614,1.57447,3.26219,1.77824,0.00034739,0.00034739,0.00034739
12,499.023,1.50382,2.80912,1.75753,0.99908,0.1,0.18248,0.1283,1.59635,3.18805,1.76277,0.000375385,0.000375385,0.000375385
13,551.667,1.50124,2.75636,1.7609,0.77863,0.10476,0.19576,0.13946,1.59412,3.19597,1.76341,0.000402673,0.000402673,0.000402673
14,601.812,1.5087,2.64391,1.72319,0.88515,0.12381,0.19175,0.13587,1.62337,3.17913,1.78904,0.000429255,0.000429255,0.000429255
15,647.08,1.50581,2.59423,1.72966,0.88026,0.12857,0.17618,0.11291,1.80221,3.17424,1.96938,0.000455129,0.000455129,0.000455129
16,695.576,1.50299,2.39987,1.75883,0.50506,0.20046,0.19699,0.12007,1.83342,3.14126,2.00843,0.000480297,0.000480297,0.000480297
